hour,last_slot_booked
0,0.4634686829795035
1,0.493947915213847
2,0.42329724089747134
3,0.4396360848781698
4,0.3687579564684828
5,0.4201069671069671
6,0.5590299349698327
7,0.49959595959595965
8,0.23772099413001868
9,0.29654007897480494
10,0.19716622562852992
11,0.22879983587317063
12,0.10202371658607468
13,0.07968266557878484
14,0.2924881686041824
15,0.4764437509434497
16,0.45634484298879907
17,0.3598798619941938
18,0.2728629878297646
19,0.08889466413718182
20,0.024851614150953515
21,0.1966485059755286
22,0.5208770427106905
23,0.7428810768172608
